color,greek,citation,character,location,theme,context
Bronze,χάλκεον,1.104,Athena,,,"She [Athena] sped to Ithaca, and stopped outside Odysseus’ court, bronze spear in hand."
Bronze,χάλκεον,1.121,Telemachus,,,"he [Telemachus] went straight to meet her at the gate, and shook her hand, and took her spear of bronze"
Gold,χρυσείῃ,1.137,,Ithaca,,A girl brought washing water in a jug of gold
Silver,ἀργυρέοιο,1.137,,Ithaca,,and poured it on their hands and into a silver bowl
Gold,χρύσεια,1.142,,Ithaca,,"The carver set beside them plates of meats of every kind, and gave them golden cups."
White,λεύκ᾽,1.161,Odysseus,,,a man [Odysseus] whose white bones may be lying in the rain beneath the waves
Gold,χρυσοῖό,1.165,Suitors,,,"they [Suitors] would all pray for faster feet, instead of wealth and gold and fancy clothes."
Bright,γλαυκῶπις,1.178,Athena,,,Athena’s clear bright eyes met his [Telemachus]
Wine-dark,οἴνοπα,1.183,,Sea,,I [Mentes] traveled with my ship and my companions over the wine-dark sea to foreign lands
Bright,γλαυκῶπις,1.221,Athena,,,Athena looked at him [Telemachus] with sparkling eyes
Shadow,σκιόεντα,1.365,Suitors,,,Throughout the shadowy hall the suitors clamored
Silver,ἀργυρέῃ,1.442,,Ithaca,,She [Eurycleia] used the silver latch
Gold,χρύσεια,1.97,Athena,,,"She [Athena] tied her sandals on her feet, the marvelous golden sandals that she wears to travel sea and land, as fast as wind."
Bronze,χαλκῷ,1.99,Athena,,,She [Athena] took the heavy bronze-tipped spear
Bronze,χάλκεον,2.10,Telemachus,,,"Telemachus arrived, bronze sword in hand."
Light,φάνη,2.1,,Sky,,The early Dawn was born; her fingers bloomed.
Rose,ῥοδοδάκτυλος,2.1,,Sky,,The early Dawn was born; her fingers bloomed.
Sunlight,αὐγὰς,2.181,,,,"Many birds go flying in sunlight, and not all are meaninful."
Bright,γλαυκῶπις,2.382,Athena,,,bright-eyed Athena
Bright,γλαυκῶπις,2.393,Athena,,,bright-eyed Athena
Wine-dark,οἴνοπα,2.421,,Sea,,wine-dark sea
White,λευκὰ,2.426,,Sea,,raised the bright white sails with leather ropes
Purple,πορφύρεον,2.427,,Sea,,the purple wave was splashing loudly round the moving keel
Black,μέλαιναν,2.430,,Sea,,The quick black ship held steady.
Bright,γλαυκῶπις,2.433,Athena,,,bright-eyed Athena
Red,αἴθοπα,2.57,Suitors,,,The [Suitors] feast and drink red wine
Bright,γλαυκῶπις,3.13,Athena,,,bright-eyed Athena
Bronze,πολύχαλκον,3.2,,Sky,,the Sun leapt up into the sky of bronze
Black,μέλαιναν,3.242,Odysseus,,,The gods have fenced him [Odysseus] round with death and darkness
Wine-dark,οἴνοπα,3.286,,Sea,,At last he [Menelaus] sailed again across the wine-dark sea
Bright,γλαυκῶπις,3.330,Athena,,,bright-eyed Athena
Bright,γλαυκῶπις,3.371,Athena,,,bright-eyed Athena
Rose,ῥοδοδάκτυλος,3.404,,Sky,,When newborn Dawn appeared with rosy fingers
White,λευκοί,3.408,Nestor,,,"Nestor jumped up out of bed, and hurried down towards the polished stones that stood outside his palace, bright with oil."
Gold,χρυσείῳ,3.41,,,,He [Pisistraus] served them giblets and he poured some wine into golden cup
Black,μέλαν,3.455,,,,Black blood poured out
Red,αἴθοπα,3.469,,,,poured the bright red wine
Rose,ῥοδοδάκτυλος,3.491,,Sky,,rosy-fingered Dawn
Shadow,σκιόωντό,3.497,,,,until the sun began to set and shadows filled the streets
Gold,χρύσειον,3.50,,,,I give the golden chalice to you first
Black,παμμέλανας,3.6,Poseidon,,,"the Pylians were bringing to the beach black bulls for blue Poseidon, Lord of Earthquakes"
Blue,κυανοχαίτῃ,3.6,Poseidon,,,"the Pylians were bringing to the beach black bulls for blue Poseidon, Lord of Earthquakes"
Black,μελαίνῃ,3.61,,,,And may the quest for which we sailed here in our swift black ship succeed
Bright,γλαυκώπιδος,3.65,Athena,,,Gray-eyed Athena
Purple,πορφυρέην,4.115,Telemachus,,,He [Telemachus] lifted up his purple cloak to hide his eyes
Gold,χρυσηλακάτῳ,4.123,Artemis,,,"Artemis, who carries golden arrows"
Silver,ἀργύρεον,4.125,,Sparta,,Phylo brought a silver sewing basket
Silver,ἀργυρέας,4.128,,Sparta,,He gave two silver tubs to Menelaus
Gold,χρυσοῖο,4.129,,Sparta,,ten pounds of gold
Gold,χρυσέην,4.131,,Sparta,,a golden spindle
Silver,ἀργύρεον,4.132,,Sparta,,this silver basket
Gold,χρυσῷ,4.133,,Sparta,,rims were finished off with gold.
Purple,ἰοδνεφὲς,4.135,,Sparta,,A spindle wound around with purple wool was laid across it.
Gold,χρυσέης,4.14,Aphrodite,,,golden Aphrodite
Yellow,ξανθὸς,4.147,Menelaus,,,"High-colored (blonde, red-haired?) Menelaus"
Purple,πορφυρέην,4.155,Telemachus,,,tears were rolling down his cheeks; he [Telemachus] raised his purple cloak to hide his eyes
Black,μέλαν,4.181,,,War,"Nothing would have divided us in love and joy, till death’s dark cloud surrounded us."
Bronze,χαλκῷ,4.226,,,War,Whoever drinks this mixture from the bowl will shed no tears that day … not even if soldiers kill her brother or her darling son with bronze spears before her very eyes.
